BCI-AV#|English|Derivation - explanation|POS
8526|f_(lowercase)|(Latin English lowercase letter f) - Character|WHITE
8527|g_(lowercase)|(Latin English lowercase letter g) - Character|WHITE
8528|h_(lowercase)|(Latin English lowercase letter h) - Character|WHITE
8529|i_(lowercase)|(Latin English lowercase letter i) - Character|WHITE
8530|j_(lowercase)|(Latin English lowercase letter j) - Character|WHITE
8531|k_(lowercase)|(Latin English lowercase letter k) - Character|WHITE
8532|l_(lowercase)|(Latin English lowercase letter l) - Character|WHITE
8533|m_(lowercase)|(Latin English lowercase letter m) - Character|WHITE
8534|n_(lowercase)|(Latin English lowercase letter n) - Character|WHITE
8535|o_(lowercase)|(Latin English lowercase letter o) - Character|WHITE
8536|p_(lowercase)|(Latin English lowercase letter p) - Character|WHITE
8537|q_(lowercase)|(Latin English lowercase letter q) - Character|WHITE
8538|r_(lowercase)|(Latin English lowercase letter r) - Character|WHITE
8539|s_(lowercase)|(Latin English lowercase letter s) - Character|WHITE
8540|t_(lowercase)|(Latin English lowercase letter t) - Character|WHITE
8541|u_(lowercase)|(Latin English lowercase letter u) - Character|WHITE
8542|v_(lowercase)|(Latin English lowercase letter v) - Character|WHITE
8543|w_(lowercase)|(Latin English lowercase letter w) - Character|WHITE
8544|x_(lowercase)|(Latin English lowercase letter x) - Character|WHITE
8545|y_(lowercase)|(Latin English lowercase letter y) - Character|WHITE
8546|z_(lowercase)|(Latin English lowercase letter z) - Character|WHITE
8551|A_(uppercase)|(Latin English uppercase letter A) - Character|WHITE
8552|B_(uppercase)|(Latin English uppercase letter B) - Character|WHITE
8553|C_(uppercase)|(Latin English uppercase letter C) - Character|WHITE
8554|D_(uppercase)|(Latin English uppercase letter D) - Character|WHITE
8555|E_(uppercase)|(Latin English uppercase letter E) - Character|WHITE
8556|F_(uppercase)|(Latin English uppercase letter F) - Character|WHITE
8557|G_(uppercase)|(Latin English uppercase letter G) - Character|WHITE
8558|H_(uppercase)|(Latin English uppercase letter H) - Character|WHITE
8559|I_(uppercase)|(Latin English uppercase letter I) - Character|WHITE
8560|J_(uppercase)|(Latin English uppercase letter J) - Character|WHITE
8561|K_(uppercase)|(Latin English uppercase letter K) - Character|WHITE
8562|L_(uppercase)|(Latin English uppercase letter L) - Character|WHITE
8563|M_(uppercase)|(Latin English uppercase letter M) - Character|WHITE
8564|N_(uppercase)|(Latin English uppercase letter N) - Character|WHITE
8565|O_(uppercase)|(Latin English uppercase letter O) - Character|WHITE
8566|P_(uppercase)|(Latin English uppercase letter P) - Character|WHITE
8567|Q_(uppercase)|(Latin English uppercase letter Q) - Character|WHITE
8568|R_(uppercase)|(Latin English uppercase letter R) - Character|WHITE
8569|S_(uppercase)|(Latin English uppercase letter S) - Character|WHITE
8570|T_(uppercase)|(Latin English uppercase letter T) - Character|WHITE
8571|U_(uppercase)|(Latin English uppercase letter U) - Character|WHITE
8572|V_(uppercase)|(Latin English uppercase letter V) - Character|WHITE
8573|W_(uppercase)|(Latin English uppercase letter W) - Character|WHITE
8574|X_(uppercase)|(Latin English uppercase letter X) - Character|WHITE
8575|Y_(uppercase)|(Latin English uppercase letter Y) - Character|WHITE
8576|Z_(uppercase)|(Latin English uppercase letter Z) - Character|WHITE
8993|indicator_(action)|(action [quarter-sized]: placed above a symbol to create (1) the infinitive form of a verb, and (2) the present tense of a verb) - Character (indicator)|GRAY
8994|indicator_(active)|(action indicator [modification]: turned on its side and pointing forward: placed above a symbol to emphasize that something is acting on something else. The symbol is logically related to about.) - Character (indicator - modified)|GRAY
8995|indicator_(conditional)|(question mark [quarter-sized]: placed above a symbol to indicate the equivalent of the English present conditional form) - Character (indicator)|GRAY
8996|indicator_(description_after_fact)|(description indicator + dot: placed above a symbol to indicate meanings equivalent to an English past participle, usually with an -ed or -en ending) - Character (superimposed - indicator)|GRAY
8997|indicator_(description_before_fact)|(dot + description indicator: the dot comes before the indicator: placed above a symbol to produce meanings equivalent to English words ending in -able) - Character (superimposed - indicator)|GRAY
8998|indicator_(description)|(evaluation [quarter-sized]: placed above a symbol to show that it is describing or evaluating something. This indicator produces meanings equivalent to English adjectives and adverbs.) - Character (indicator)|GRAY
8999|indicator_(future_action)|(future [quarter-sized]: placed above a symbol to indicate future action) - Character (indicator)|GRAY
9000|indicator_(future_conditional)|(conditional indicator + future action indicator: placed above a symbol to indicate the future conditional form) - Character (superimposed - indicator)|GRAY
9001|indicator_(future_passive)|(passive indicator + future action indicator) - Character (superimposed - indicator)|GRAY
9002|indicator_(future_passive_conditional)|(passive indicator + future conditional indicator) - Character (superimposed - indicator)|GRAY
9003|indicator_(passive)|(action indicator [modification]: turned on its side and pointing backward: placed above a symbol to emphasize that something is being acted upon. The symbol is logically related to by.) - Character (indicator - modified)|GRAY
9004|indicator_(past_action)|(past [quarter-sized]: placed above a symbol to indicate past action) - Character (indicator)|GRAY
9005|indicator_(past_conditional)|(conditional indicator + past action indicator: placed above a symbol to indicate the past conditional form) - Character (superimposed - indicator)|GRAY
9006|indicator_(past_passive_conditional)|(passive indicator + past conditional indicator) - Character (superimposed - indicator)|GRAY
9007|indicator_(past_passive)|(passive indicator + past action indicator) - Character (superimposed - indicator)|GRAY
9008|indicator_(present_passive_conditional)|(passive indicator + conditional indicator) - Character (superimposed - indicator)|GRAY
"|aanwyser (teenwoordige tyd passief)|индикатор (страдат.залог услов.наклон.гл.)|vísir (lýsingarháttur nútíðar, skilyrt)
9009|indicator_(thing)|(thing [quarter-sized]: placed above a symbol to represent a concrete object) - Character (indicator)|GRAY
9010|indicator_(thing_plural)|(thing indicator + plural indicator) - Character (superimposed - indicator)|GRAY
9011|indicator_(plural)|(multiplication [quarter-sized]: placed above a symbol to indicate a plural form) - Character (indicator)|GRAY
12321|a,an,any|(diagonal line suggests an index finger pointing at something unspecific. The diagonal line has the opposite orientation to the one used in the, this and that.) - Character|WHITE
12322|ability,capability,capacity,potential|(dot + evaluation: evaluation beforehand of one’s potential to do something) - Character (sequenced)|YELLOW
12323|abortion_(induced)|(to cause + miscarriage,abortion_(spontaneous))|YELLOW
12324|about,concerning,regarding,in_relation_to,of,on|(relation [half-sized], pointing forward: used to mean on when the symbol refers to time, e.g. on Wednesday) - Character|WHITE
12325|absorbent_material,sponge|(material + into)|YELLOW
12326|celibacy,chastity,abstinence|(to decide + without + sexual intercourse)|YELLOW
12327|abuse,assault,violence|(force + intensity)|YELLOW
12328|accessory|(thing + plus + clothing: something added to one's clothing)|YELLOW
12329|accident,chance_event|(event + without + to expect: unexpected event)|YELLOW
12330|account|(paper [modification] + container: written (financial) record of something held) - Character (superimposed - modified)|YELLOW
12331|ache|(pain + to continue: pain that goes on and on)|YELLOW
12332|acne|(many + pimple)|YELLOW
12333|across|(pictograph: a vertical line with two horizontal lines [half sized] across it: CKB says this is a small road crossing a main road) - Character|WHITE
12334|action,act,deed|"(symbol suggests the shape of a volcano cone, which CKB says represents ""one of the primeval actions of our earth"". The Action [full-sized], is used primarily as the source of activity - action [half-sized]) - Character"|YELLOW
12335|activity,male_gender_(in_combinations)|(action [half-sized]) (Also used as part of other characters to indicate male gender) - Character|YELLOW
12336|active,actively|(activity + description indicator)|GREEN
12337|Adar|(month + megillah: month of Purim (Hebrew))|YELLOW
12338|add,gain-(to)|(addition + action indicator)|RED
12339|addition,gain|(based upon the international mathematical symbol) - Character|YELLOW
12340|adolescence|(limited time + adolescent)|YELLOW
12341|adult,grownup|"(flower + big: CKB suggests that an adult is a person reaching ""full flower"") - Character (superimposed)"|BLUE
12342|adult,mature|(adult + description indicator)|GREEN
12343|advance,go-(to)|(forward + action indicator) See also: go,depart,leave-(to) 14449, and walk,go-(to) 18031|RED
12344|advertisement|(page + attention: paper that attracts one's attention)|YELLOW
12345|advice,counsel,recommendation|(suggestion + to help)|YELLOW
12346|advise,counsel,recommend-(to)|(advice + action indicator)|RED
12347|afraid,frightened,scared|(fear,fright,concern + description indicator: sad about the future because of its uncertainties)|GREEN
12348|after,behind|(reference line + dot: dot comes after the reference line. This symbol refers to both time and space.) - Character (sequenced)|WHITE
12349|afternoon|(day + after + 12: the part of the day after noon)|YELLOW
12350|again|(dot is repeated: it appears once and then again) - Character (sequenced)|WHITE
12351|against,opposed_to|(opposition [half-sized]) - Character|WHITE
12352|ago,then_(past)|(past [half-sized]) - Character|WHITE
12353|agree-(to)|(agreement + action indicator)|RED
12354|agreement|(two parallel arrows: to be in harmony) - Character (superimposed)|YELLOW
12355|aid,device,support|(help + thing indicator: concrete thing that aids or supports a person. The symbol is the concrete form of help.) - (character with thing indicator)|YELLOW
12356|air,atmosphere|(sky + nose: one breathes air from the sky) - Character (superimposed)|YELLOW
12357|airplane,aeroplane,plane|(wings + wheel) - Character (superimposed)|YELLOW
12358|airport|(building + airplane)|YELLOW
12359|alcoholic_drink,alcoholic_beverage,liquor|(pictograph: symbol suggests a wine glass) - Character|YELLOW
12360|all,every,everything,total,whole|(multitude + enclosure: symbol reminds us that “all” can only refer to some restricted multitude) - Character (superimposed)|WHITE
12361|all_gone|(all + to take away: all taken away)|WHITE
12362|alligator,crocodile|(animal_(water) + snake + teeth: combination of water animal and reptile + teeth)|YELLOW
12363|alone,just,only,solitary|(to be + 1 + description indicator: to be only one)|GREEN
12364|along_with|(and + and: in addition to)|WHITE
12365|alpana,rangoli_(decoration)|(design + floor: decoration used on special occasions) (India)|YELLOW
12366|alphabet,letters_(lowercase)_(Latin_alphabet)|(a_(lowercase) + b_(lowercase) + c_(lowercase): first three letters of the English alphabet, representing the entire alphabet) - Character (superimposed)|YELLOW
12367|although|(three arrowheads: one arrowhead moves forward between and beyond two opposing arrowheads) - Character|WHITE
12368|always,ever,forever|(time + all + description indicator: all the time)|GREEN
12369|ambulance|(car + medical)|YELLOW
12370|amenorrhea|(without + menstruation)|YELLOW
12371|amphibian|(animal + water + earth: animal adapted to life in water and on land)|YELLOW
12372|amuse,entertain,please-(to)|(to give + happiness + action indicator: to give happiness or pleasure)|RED
12374|and,also,plus,too|(addition [half-sized] with the crossbar located in the midline) - Character|WHITE
12375|angel_(OLD)|(angel_(1) + God: winged person sent by God) SUPERSEDED SYNONYM See angel_(1) 20571 and angel_(2) 20570|BLUE
12376|angle|(international mathematical symbol) - Character|YELLOW
12377|angry,angrily,mad|(much + feeling + opposition + description indicator: having strong feelings against someone or something)|GREEN
12378|animal,beast|(pictograph: symbol suggests a creature with four legs) - Character|YELLOW
12379|animal_(bovine,ovine),bovid,bovine|(animal + horn(s) pictograph) - Character (superimposed)|YELLOW
12380|dog,canine_(animal),canid|(animal + curved line (representing a tail): the waving tail being characteristic of a dog) - Character (superimposed)|YELLOW
12381|deer,cervine_(animal),cervid|(animal + horn(s) pictograph: horns are raised to signify that males shed their horns annually) - Character (superimposed)|YELLOW
12382|domestic_animal|(animal + protection: animal that is cared for in a domestic setting)|YELLOW
12383|cat,feline_(animal),felid|(animal + small curved lines (representing claws): the claws being characteristic of cats) - Character (superimposed)|YELLOW
12384|marsupial_(animal),pouched_mammal|(animal + pouch)|YELLOW
12385|animal_(protected)|(animal + protection + description after the fact indicator)|YELLOW
12386|rat,rodent,gnawer,gnawing_animal|(animal + teeth: animal that gnaws to file its continuously growing teeth)|YELLOW
12387|animal_skin,hide,pelt|(protection + animal: protective covering of an animal)|YELLOW
12388|lizard,reptile_(snake_like_animal)|(animal + snake: snake-like animal)|YELLOW
12389|animal_(water)|(animal + water [modification, under earthline]) - Character (superimposed - modified)|YELLOW
12390|animal_(wild)|(animal + open: untamed animal that lives in the open)|YELLOW
12391|ankle|(kneeling_(kneeling_person) + pointer, to ankle joint) - Character (superimposed - pointer)|YELLOW
12392|anniversary|(year + again: occasion that comes again every year)|YELLOW
12393|answer,reply|"(question + enclosure [combination]: an answer ""closes"" a question) - Character (superimposed - combined)"|YELLOW
12394|answer,reply-(to)|(answer + action indicator)|RED
12395|ant|(insect + work + intensity: industrious insect)|YELLOW
12396|anus|(opening + buttocks)|YELLOW
12397|anxiety|(upset + future_(uncertain): upset about an uncertain future)|YELLOW
12398|anxious,anxiously|(anxiety + description indicator)|GREEN
12399|anyone,anybody,somebody,someone|(any + person)|BLUE
12400|anything,something|(any + thing)|WHITE
12401|anytime,sometime|(any + time)|WHITE
12402|anywhere,anyplace,someplace,somewhere|(any + earth,ground,land: can be interpreted as a combination of any and place) - Character (superimposed)|WHITE
12403|apartment,flat,unit|(house + inside + house: dwelling inside a larger building)|YELLOW
12404|apologize,apologise,regret_(express)-(to)|(to speak + comma + to regret + action indicator)|RED
12405|apple|(pictograph of apple with stem) - Character|YELLOW
12406|appointment|(time + to meet: time agreed upon for a meeting)|YELLOW
12407|approach|(forward + reference line: advancing arrow approaches the line but does not reach it) - Character|YELLOW
12408|approve-(to)|(evaluation + correct + action indicator: to evaluate as correct or good in a rational sense)|RED
12409|apricot|(peach + small)|YELLOW
12410|April|(month + 4: fourth month of the year)|YELLOW
12411|apron,coverall,smock,overall|(protection + clothing: protective covering worn over other clothing)|YELLOW
12412|architect|(person + to plan + building: person who designs buildings)|BLUE
12413|argue,dispute,quarrel-(to)|(argument + action indicator)|RED
12414|argument,dispute,quarrel|(discussion + intensity)|YELLOW
12577|arm|(pictograph: symbol suggests an arm bent upward) - Character|YELLOW
12578|armchair|(pictograph: symbol suggests a chair with support added for the arm) - Character|YELLOW
12579|military,armed_forces,armed_services|(group_(people) + war: group trained for war)|YELLOW
12580|around|(curved line + dot: half circle is around the dot) - Character (superimposed)|WHITE
12581|art|(man-made + feeling: process of making or producing something that inspires emotion in the beholder)|YELLOW
12582|art_gallery,gallery|(building + work of art + thing indicator: building where works of art are displayed)|YELLOW
12583|artificial_insemination|(aid + medical + conception)|YELLOW
12584|artificial_respiration|(to cause + to breathe)|YELLOW
12585|give_artificial_respiration,resuscitate,revive-(to)|(artificial respiration + action indicator)|RED
12586|ashes|(waste + fire)|YELLOW
12587|ashtray|(container + ashes)|YELLOW
12588|ask,inquire,question-(to)|(question + action indicator)|RED
12589|asleep|(sleep + description indicator)|GREEN
12590|astronaut,cosmonaut|(person + rocket: person who goes up in a rocket)|BLUE
12591|at|(position [half-sized]) - Character (sequenced)|WHITE
12592|atom|(pictograph of an atom with inner nucleus + pointer showing the movement of a circling electron) - Character|YELLOW
12593|attack_(of_illness)|(of illness) (illness + limited time)|YELLOW
12594|attention|(eye + intensity + intensity: using the eyes intently)|YELLOW
12595|August|(month + 8: eighth month of the year)|YELLOW
12596|aunt|(sister + parent: the sister of one's father or mother) - Character (superimposed)|BLUE
12597|autumn,fall_(ckb)|(sun + 3: third season) (CKB) SYMBOL SYNONYM|YELLOW
12598|autumn,fall|(sun + 3 + leaf + down: third season when the leaves fall) (BCI) SYMBOL SYNONYM|YELLOW
12599|Av_(Hebrew_month)|(month + church_ruin,temple_ruin,wreck,wreckage_(church,temple,mosque)_(1): month of the Tisha B'Av, the destruction of the Holy Temple (Hebrew))|YELLOW
12600|avocado|(pear + pit) - Character (superimposed)|YELLOW
12601|awake|(wakefulness,alertness + description indicator: state one is in when one's eyes are open)|GREEN
12602|away,at_a_distance,off_(OLD)|(reference line [half-sized] + arrowhead: full square between reference line and arrowhead emphasizes distance. This symbol is a simplified form of departure.) - Character (sequenced) SUPERSEDED SYNONYM See away,at_a_distance,off 25522|WHITE
12603|baby,infant|(child [modification, turned on its side]: child too young to stand) - Character|BLUE
12604|baby_boy|(boy [modification, turned on its side]: boy too young to stand) - Character|BLUE
12605|baby_carriage,buggy,pram,pushchair,stroller|(wagon + baby: carriage for a baby)|YELLOW
12606|baby_clinic|(clinic + baby)|YELLOW
12607|baby_girl|(girl [modification, turned on its side]: girl too young to stand) - Character|BLUE
12608|babysitter|(person + to protect + child: person who cares for a child)|BLUE
12609|back_(body)|(standing person + pointer, to back) - Character (superimposed - pointer)|YELLOW
12610|back_and_forth,backward_and_forward,to_and_fro,alternation|(backward [modification, on earthline] + forward) - Character (superimposed - modified)|WHITE
12611|backpack,rucksack|(sack + back)|YELLOW
12612|back_up-(to)|(backward + action indicator)|RED
12613|backward,back|(arrow, pointing backward) - Character|WHITE
12614|bacon|(pork + linear thing: pork in strips)|YELLOW
12615|bad,wrong|(feeling + negative + description indicator: felt to be negative or bad in an emotional sense) See also: immoral,bad,wrong,morally_wrong 14929 and incorrect,bad,inaccurate,wrong 14935|GREEN
12616|badge,shield|(pictograph: symbol is shaped like a badge) - Character|YELLOW
12617|badminton_(activity)|(activity + shuttlecock: game played with a feathered shuttlecock)|YELLOW
12618|baggage,bag,luggage,suitcase|(pictograph) - Character|YELLOW
12619|bake,cook,roast-(to)|(to cook + enclosure + action indicator: to cook inside an enclosure e.g. oven)|RED
12620|balcony,porch,veranda|(room + outside)|YELLOW
12621|ball|(pictograph: symbol suggests a small stitched ball) - Character|YELLOW
12622|balloon|(pictograph) - Character|YELLOW
12623|banana|(pictograph with stem: crescent-shaped fruit suggesting a banana) - Character|YELLOW
12624|band,orchestra_(OLD)|(group_(people) + musical instrument) SUPERSEDED SYNONYM See band,orchestra 24873|BLUE
12625|bandage,dressing|(cloth + protection + medical)|YELLOW
12626|bank|(building + money)|YELLOW
12627|bar,pub|(public room + alcoholic drink)|YELLOW
12628|barber,hairdresser|(person + hair)|BLUE
12629|barbershop,beauty_shop|(public room + hair)|YELLOW
12630|barn,stable,shed|(building + animal: building for animals)|YELLOW
12631|barrier_(contraceptive)|(sperm + vertical line: combination of sperm and stop (to)) - Character (superimposed - combined)|YELLOW
12632|baseball_(activity)|(activity + ball + corner: the corner character here represents the baseball diamond with the pointer to a base in a corner: ball game played on a diamond)|YELLOW
12633|base_camp|(place + to gather)|YELLOW
12634|basketball_(activity)|(activity + ball + container,basket_(high): game in which a ball is tossed into a high basket)|YELLOW
12635|bat_(sport)|(linear thing + ball + thing indicator: linear thing used to hit a ball)|YELLOW
12636|bat_(animal)|(animal + wing(s): flying animal) - Character (superimposed)|YELLOW
12637|bathroom,washroom|(room + bath)|YELLOW
12638|battery|(container + electricity: receptacle that stores and generates electricity)|YELLOW
12639|be,am,are,is,exist-(to)|"(to live [half-sized] + action indicator: the ""little meaning"" of to live) (See Note p. II-30 in BRG)"|RED
12640|beach,bank,coast,shore|(earth + water_(ground_level): place where land touches water) - Character (superimposed)|YELLOW
12641|beach_tennis_(activity)_(OLD)|(tennis_(activity)_(OLD) + beach) SUPERSEDED SYNONYM See beach_tennis_(activity) 25981|YELLOW
12642|bean|(pictograph: cross section of bean in a pod) - Character |YELLOW
12643|bear|(animal + bear's_head: animal + pictograph of a bear's head)|YELLOW
12644|beard|(face_with_beard + pointer, to beard) - Character (superimposed - pointer)|YELLOW
12645|beautiful,attractive,good-looking,handsome,pretty|(beauty + description indicator: pleasing to the eye)|GREEN
12646|beaver|(water_animal_(big_tail) + teeth: can be interpreted as a combination of water animal (with a big tail) and rodent, a large, flat-tailed rodent that makes its home in water)|YELLOW
12647|because|"(cause [half-sized] + what,question_mark. CKB points out that this symbol is the reverse of why, and reminds us that the question mark remains to show that not all answers beginning with ""because"" are complete or satisfactory.)"|WHITE
12648|become-(to)|(to advance + to be + action indicator: to come to be)|RED
12649|bed|(pictograph: symbol suggests a bed with a pillow at the head) - Character|YELLOW
12650|bedroom|(room + to sleep)|YELLOW
12651|bee,bumblebee,hoverfly|(fly + flower: flying insect that obtains nectar and pollen from flowers)|YELLOW
12652|beef|(food + bovine: food that comes from a steer or cow. The symbol also can be explained as: combination of meat and bovine)|YELLOW
12653|beer|(alcoholic drink + gas: alcoholic drink that has bubbles or foam)|YELLOW
12654|beet,beetroot|(vegetable (large-leafed) + red: vegetable with a red, edible root)|YELLOW
12655|beetle|(insect + pictograph of wing cases [hard shell]) - Character (superimposed)|YELLOW
12656|before,in_front_of,prior_to|(dot + reference line: the dot comes before the reference line. This symbol refers to both time and space.) - Character (sequenced)|WHITE
12657|begin,start-(to)|(beginning + action indicator)|RED
12658|beginning,start|(reference line + forward: advancing arrow begins at the reference line) - Character (superimposed)|YELLOW
12659|behaviour|(action + creature + thing indicator: action of a living being)|YELLOW
12660|belief|(feeling + hypothesis,theory: where hypothesis,theory represents truth [contraction], what one feels to be true, without needing proof)|YELLOW
12661|believe-(to)|(belief + action indicator)|RED
12662|bell|(thing + 1 + musical note: thing with one musical note)|YELLOW
12663|belongs_to,of_(possessive)|(addition [half-sized, modification, with the crossbar located on the earthline]) - Character - (modified)|GRAY
12664|belt,sash|(linear thing + waist + thing indicator: linear thing worn at the waist)|YELLOW
12665|bench,pew|(seat + long)|YELLOW
12666|berry|(pictograph: symbol suggests a berry with a curved stem, in the position it would have if protruding from a bush) - Character|YELLOW
12667|best|(most + good + description indicator)|GREEN
12668|better|(more + good + description indicator)|GREEN
12669|between|(two reference lines + dot, between them) - Character (sequenced)|WHITE
12670|beyond,past_(OLD)|(outside + limit(s),limitation_(OLD) + description indicator) SUPERSEDED SYNONYM See beyond,past 25983|GREEN
12833|bib|(protection + chest: protective covering for the upper body)|YELLOW
12834|bicycle|(2 + wheel: two wheeled cycle)|YELLOW
12835|big,large|(bigness,largeness + description indicator: the vertical line extends to the biggest possible size within the symbol square) See also: little,small 15221. |GREEN
12836|bindi,tika_(decoration)|(dot + colour + forehead: spot worn on the forehead of Hindu women) (India)|YELLOW
12837|bird|(pictograph: symbol suggests the wings and feet of a bird) - Character|YELLOW
12838|bird_(domestic)|(bird + protection: bird that is cared for in a domestic setting)|YELLOW
12839|bird_(protected)|(bird + protection + description after the fact indicator)|YELLOW
12840|duck,bird_(water),waterbird,waterfowl,seabird,seafowl|(bird + water [modification, under earthline]: aquatic bird) - Character (superimposed - modified)|YELLOW
12841|bird_(wild)|(bird + open: untamed bird that lives in the open)|YELLOW
12842|birth,giving_birth,parturition,delivery|(fetus [modification, opening in body] + down,downward [modification]: combination illustrating the birth of a baby) - Character (superimposed - modified - combined)|YELLOW
12843|birth|(protection,shelter + star: someone new under the roof. CKB points out that newspapers often use a star to denote a birth.) - Character (superimposed)|YELLOW
12844|birth_control|(to stop + conception)|YELLOW
12845|birth_control_pill,pill|(pill + without + egg: pill that prevents the release of an egg)|YELLOW
12846|birthday|(day + birth: day of one's birth)|YELLOW
12847|bite-(to)|(teeth + action indicator)|RED
12848|bitter|(taste + down + description indicator: unpleasant taste)|GREEN
12849|black_(bci)|(colour + night) (BCI) SYMBOL SYNONYM|WHITE
12850|black_(ckb)|(colour + zero: the absence of colour) (CKB) SYMBOL SYNONYM|WHITE
12851|blackbird,crow,raven|(bird + black)|YELLOW
12852|blackboard,chalkboard,whiteboard,writing_board|(enclosure + to write: panel on which one writes, usually with chalk)|YELLOW
12853|bladder|(container + urine)|YELLOW
12854|blanket,duvet,quilt|(cloth + protection + bed)|YELLOW
12855|bleed-(to)|(blood + action indicator)|RED
12856|blind|(blindness + description indicator: unable to see) See also: visually_impaired 26033|GREEN
12857|blissymbol,Bliss-word|(world + pen: writing for the world) - Character (superimposed)|YELLOW
12858|blissymbol_part|(part + blissymbol: used with a compound symbol to produce a new meaning, represented by one of the component parts of the compound symbol)|GRAY
12859|blissymbolics_resource_centre|(resource_centre + blissymbol)|YELLOW
12860|block,brick|(pictograph: symbol suggests a three-dimensional block. It is half the size of box.) - Character|YELLOW
12861|blood|(liquid + life: body fluid that sustains life)|YELLOW
12862|blow_(wind)-(to)|(wind + action indicator)|RED
12863|blow_(mouth)-(to)|(mouth + wind + action indicator: to use the mouth to make a wind)|RED
12864|blue_(bci)|(colour + sky) (BCI) SYMBOL SYNONYM|WHITE
12865|blue_(ckb)|(colour + 5) (CKB) SYMBOL SYNONYM|WHITE
12866|blueberry|(berry + blue)|YELLOW
12867|bluebird|(bird + blue)|YELLOW
12868|board_(material)|(table + pointer, to underside: the top of a table is frequently made of boards) - Character (superimposed - pointer)|YELLOW
12869|boat,ship|(pictograph: symbol suggests a boat with a mast and also incorporates container.) - Character|YELLOW
12870|body,trunk|(pictograph: symbol suggests the trunk of the body, without head and limbs. The symbol may be used for body in a general sense.) - Character|YELLOW
12871|boil_(food)-(to)|(fire + water + intensity + action indicator: to bring water or a liquid to a boil)|RED
12872|boil_(liquid)-(to)|(fire + water + intensity + action indicator: to cook in boiling water)|RED
12873|bone|(pictograph: symbol suggests a bone shaft with ends) - Character|YELLOW
12874|bonfire,barbeque,campfire|(fire + happiness: a fire to enjoy)|YELLOW
12875|book|(pictograph: symbol suggests an open book. It can also be explained as: two page symbols.) - Character|YELLOW
12876|boot|(protection + leg_and_foot)|YELLOW
12877|borrow-(to)|(to receive + limited time + action indicator)|RED
12878|boss,supervisor_(OLD)|(person + to guide + work: person who directs work) SUPERSEDED SYNONYM See boss,supervisor 24849|BLUE
12879|both|(2 + all: two of all)|WHITE
12880|bottle,flask|(pictograph: suggests bottle with body and neck) - Character|YELLOW
12881|bottom,base|(enclosure + pointer, to bottom) - Character (superimposed - pointer)|YELLOW
12882|bow_(knot)|(pictograph) - Character|YELLOW
12883|bowel,intestine_(OLD)|(tube + bowel movement) SUPERSEDED SYNONYM See intestine(s),bowel(s),gut(s) 25460|YELLOW
12884|bowel_movement,defecation,shitting,feces,shit,poop|(waste + buttocks)|YELLOW
12885|bowling_(activity)|(activity + ball_field: sport in which a ball is rolled along the ground)|YELLOW
12886|box,cube|(pictograph: symbol suggests a three-dimensional box) - Character|YELLOW
12887|boxing_(activity)|(activity + fight)|YELLOW
